source,logz,logz_err,delta_vs_first
m13 k=3 (nlive=500),-2379.469948589936,0.1918956550629449,0.0
m13 k=4 (nlive=500),-2380.594996887971,0.2071512054027846,-1.1250482980349261
m19 k=3 (nlive=2000),-2390.740593484186,0.13920499405339642,-11.270644894249926
m17 k=4 (nlive=2000),-2390.069354448134,0.14130220185636164,-10.599405858198224
