candidate,param,m12_med,m12_q16,m12_q84,m12_width,m17_med,m17_q16,m17_q84,m17_width,width_ratio
g,log_P,2.8917606592805645,2.8898554402941996,2.8925428069480525,0.0026873666538529406,3.0533393091654175,3.015429752754028,3.2026070891513676,0.18717733639733947,69.65083686253936
g,log_K,-1.3461072331694393,-1.354775713620643,-1.3432641794019928,0.011511534218650255,-1.8460563436470987,-2.4220464408566253,-1.7462230012688824,0.6758234395877429,58.70837255496464
h,log_P,3.6576543296314323,3.654192968028117,3.659650205731917,0.005457237703800022,3.7685470282677027,3.6101945942725884,4.171520729694842,0.5613261354222532,102.85902243755785
h,log_K,-1.5849240271633027,-1.5917157716985195,-1.5799840332966728,0.011731738401846714,-1.5841665637754416,-1.7125856809103044,-1.4158641818041944,0.29672149910611,25.29220213940353
e,log_P,5.023469325135396,5.022302740552177,5.0342411913532485,0.01193845080107181,5.078741974447282,4.802775014541106,5.19159503975152,0.38882002521041414,32.5687169708407
e,log_K,-1.6266359540022217,-1.6310135916458957,-1.6199232984335583,0.011090293212337343,-1.5907469408319257,-1.879885880988666,-1.2812523291155613,0.5986335518731047,53.97815372520158
f,log_P,6.628232086207381,6.625690398410015,6.6307523418399725,0.005061943429957694,6.609419003944474,6.3014215346408635,6.757503936467245,0.4560824018263814,90.10025657876488
f,log_K,-0.9263639940606186,-0.9304996606683477,-0.9213770224257143,0.009122638242633374,-1.6206013514909399,-1.788407113477061,-0.9028707761667639,0.885536337310297,97.07020203562023
